[14/Mar/2026:05:16:18 +0000] 404 - GET http ai-electutor.com "/wp-admin/setup-config.php" [Client 104.23.221.86] [Length 122] [Gzip 1.35] "http://ai-electutor.com/wp-admin/setup-config.php" "-"
[14/Mar/2026:05:36:59 +0000] 404 - GET http 158.247.221.212 "/database/config.json" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:36:59 +0000] 404 - GET http 158.247.221.212 "/credentials" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:00 +0000] 404 - GET http 158.247.221.212 "/credentials.json" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:00 +0000] 404 - GET http 158.247.221.212 "/credentials.yml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:00 +0000] 404 - GET http 158.247.221.212 "/credentials.yaml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:01 +0000] 404 - GET http 158.247.221.212 "/credentials.ini" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:01 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 206.81.24.74] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:37:01 +0000] 404 - GET http 158.247.221.212 "/credentials.cfg" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:01 +0000] 404 - GET http 158.247.221.212 "/credentials.conf" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:01 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 206.81.24.74] [Length 154] [Gzip -] "-" "-"
[14/Mar/2026:05:37:01 +0000] 404 - GET http 158.247.221.212 "/secrets" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:02 +0000] 404 - GET http 158.247.221.212 "/secrets.json" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:02 +0000] 404 - GET http 158.247.221.212 "/secrets.yml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:02 +0000] 404 - GET http 158.247.221.212 "/secrets.yaml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:03 +0000] 404 - GET http 158.247.221.212 "/secrets.ini" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:03 +0000] 404 - GET http 158.247.221.212 "/secrets.cfg" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:03 +0000] 404 - GET http 158.247.221.212 "/secrets.conf" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:03 +0000] 404 - GET http 158.247.221.212 "/.credentials" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:04 +0000] 404 - GET http 158.247.221.212 "/.credentials.json" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:04 +0000] 404 - GET http 158.247.221.212 "/.credentials.yml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
[14/Mar/2026:05:37:04 +0000] 404 - GET http 158.247.221.212 "/.credentials.yaml" [Client 185.177.72.51] [Length 122] [Gzip 1.35] "curl/8.7.1" "-"
